question_text,target
Can a person be confident socially while pretending and stressing out alone?,0
Where can I find wholesale suppliers of Korean cosmetic in India?,0
"In computer security, how are STIG and SCAP related or different?",0
Isn't there an inherent flaw in the thinking that life is a gift?,0
What would you call a game which is in the style of a dating sim but isn't romantic and is more platonic/win over a friend game?,0
What qualities of the blood are inherited exclusively from the father?,0
How well would the local police departments handle a zombie invasion?,0
What would it cost to build a city in the ocean near a coast?,0
Do most physicians truly understand diabetes?,0
Why is there so much domestic violence in New Zealand?,0
"I received and opened a Snapchat, but it says I haven’t seen it, even though I have, multiple times. How can I fix this?",0
Is the scene between Thanos and Gamora in the soul stone inspired by Harry Potter and Dumbledore from the last Harry Potter film?,0
What could be cause of calf pain if your uric acid and vitamin D level is good?,0
Are there colleges in UP through JEE with home state UP quota?,0
"How do kids get over their ""nobody understands me"" phase? Do they accept that no one will ever understand? Do they change their personal understanding of themselves?",0
What are the three forms of bath?,0
How do I cope up with a situation When your planned vacation gets cancelled and you feel a heavy disappointment because you know you wont get another time for that vacation?,0
How can I get my parents to buy me an expensive clarinet? I have about 6-7 years of experience and I've been using a student clarinet all along.,0
"Xenomorph vs Boba Fett, who wins?",0
Do sociopaths admire actors or singers as neurotypicals?,0
What is the repairing cost for i20 breakdown because of overheating?,0
Can a person beat a horse in a marathon?,0
Why do many people with mental illnesses have problems with authority figures in their life?,0
Is exemption u/s10AA available to non residents?,0
How can I remain positive while facing rejections?,0
What is the best way to locate my lost BlackBerry?,0
Wouldn't we all be healthier if everyone for all her body scans every few years?,0
What are the 8 stories of collective bravery published by UNESCO?,0
"Do desert rivers get warm during the day? If so, do they stay warm at night due to specific heat?",0
Would Argentine millennials fight a 2nd Falklands War if necessary?,0
What if Batman was a Marvel hero?,0
Can we pray Eid Salah in the time of another country?,0
What are the best Friday evening times to drive from San Diego to Los Angeles to avoid traffic?,0
What happens if you take out starter piercings?,0
How can you describe the word relationship?,0
Can you really kill a person by twisting his neck like in the movies?,0
